,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
5764,5764,ID_Past Conflicts_NYT_952,Cold Statistics_Prompt_Instance_ID_9274,"15 people, including five children, were also wounded","15 people, including five children","Number about Injured (Wounded in Israeli airstrikes, including children)",Gazan civilians (including children),Yes,Yes,Many,Palestinian,Palestine,"Ashraf al-Qedra, a spokesman for the Health Ministry in Gaza, said that 15 people, including five children, were also wounded in Israeli airstrikes late Sunday and early Monday",2014,07 July 2014,NYT
5765,5765,ID_Past Conflicts_NYT_952,Cold Statistics_Prompt_Instance_ID_9277,three of them minors,three,Number about Victims (Israeli minors arrested as suspects),Israeli minors (arrested as suspects in the killing of Muhammad Abu Khdeir),Yes,Yes,Many,Israeli,Israel,"a day after the Israeli authorities arrested six suspects, all Israeli Jews and three of them minors, in the killing",2014,07 July 2014,NYT
5766,5766,ID_Past Conflicts_NYT_957,Cold Statistics_Prompt_Instance_ID_9294,seven Hamas fighters,seven,Number about Deaths (combatants),Hamas fighters killed by Israeli airstrikes,No,Yes,Many,Palestinian,Palestine,Israeli airstrikes in Gaza killed seven Hamas fighters on Monday morning,2014,07 July 2014,NYT
5767,5767,ID_Past Conflicts_NYT_959,Cold Statistics_Prompt_Instance_ID_9299,killing of the three Israeli teenagers,three Israeli teenagers,Number about Deaths,"three Israeli teenagers (Eyal Yifrach, 19; Naftali Fraenkel, 16; and Gilad Shaar, 16)",Yes,Yes,Many,Israeli,Israel,"The hostilities and recriminations began with the kidnapping and murder last month of three Israeli teenagers in the West Bank: Eyal Yifrach, 19; Naftali Fraenkel, 16; and Gilad Shaar, 16.",2014,07 July 2014,NYT
5768,5768,ID_Past Conflicts_NYT_959,Cold Statistics_Prompt_Instance_ID_9301,six Palestinians were killed,six Palestinians,Number about Deaths,six Palestinians,No,Yes,Many,Palestinian,Palestine,"In the sweep to find those teenagers, six Palestinians were killed in confrontations with Israeli forces",2014,07 July 2014,NYT
5769,5769,ID_Past Conflicts_NYT_959,Cold Statistics_Prompt_Instance_ID_9302,about 400 Palestinians were arrested,about 400 Palestinians,Number about Arrested,about 400 Palestinians,No,Yes,Many,Palestinian,Palestine,"and about 400 Palestinians were arrested, many of them affiliated with Hamas, which Israel accused of the murders.",2014,07 July 2014,NYT
5770,5770,ID_Past Conflicts_NYT_959,Cold Statistics_Prompt_Instance_ID_9303,hundreds of extreme right-wing protesters,hundreds,Number about Protesters,hundreds of extreme right-wing protesters,No,Yes,Many,Israeli,Israel,"During funerals for the boys, hundreds of extreme right-wing protesters blocked roads in Jerusalem chanting “Death to Arabs.”",2014,07 July 2014,NYT
5771,5771,ID_Past Conflicts_NYT_959,Cold Statistics_Prompt_Instance_ID_9304,"35,000 “likes”","35,000",Number about Social Media Supporters,People of Israel Demand Revenge Facebook page supporters,No,Yes,Many,Israeli,Israel,"A Facebook page named “People of Israel Demand Revenge” gathered 35,000 “likes” before being taken down",2014,07 July 2014,NYT
5772,5772,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9318,at least 23 people were killed,at least 23,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"Palestinian officials said that at least 23 people were killed Tuesday in Gaza, where repeated bombardments shook buildings and sent thousands of people into the streets.",2014,08 July 2014,NYT
5773,5773,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9320,many thousands of Israelis fled to shelters,many thousands,Number about Displaced,Israeli civilians,No,Yes,Many,Israeli,Israel,"Israeli officials emphasized that their goal was to restore quiet to southern Israel, where many thousands of Israelis fled to shelters and schools were shut.",2014,08 July 2014,NYT
5774,5774,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9324,Seven died in one house in Khan Younis,Seven,Number about Deaths,Palestinian civilians in Khan Younis,No,Yes,Many,Palestinian,Palestine,"Seven died in one house in Khan Younis, bombed after a telephoned warning.",2014,08 July 2014,NYT
5775,5775,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9325,more than 100 people had been wounded,more than 100,Number about Injured,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"Ashraf al-Qedra, a Health Ministry spokesman, said that more than 100 people had been wounded in the aerial assaults.",2014,08 July 2014,NYT
5776,5776,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9326,three kids lying on the ground,three,Number about Victims (Children),Palestinian children injured or killed in Gaza,Yes,Yes,Many,Palestinian,Palestine,"I looked out from the window after the smoke cleared and saw three kids lying on the ground,",2014,08 July 2014,NYT
5777,5777,ID_Past Conflicts_NYT_966,Cold Statistics_Prompt_Instance_ID_9328,350 Israelis came to the family’s mourning tent to offer condolences,350,Number about Attendees (Condolences),Israelis offering condolences to Palestinian family,No,Yes,Many,Israeli,Israel,"In Shuafat, the East Jerusalem neighborhood of the murdered Palestinian teenager, Muhammad Abu Khdeir, 350 Israelis came to the family’s mourning tent to offer condolences.",2014,08 July 2014,NYT
5778,5778,ID_Past Conflicts_NYT_967,Cold Statistics_Prompt_Instance_ID_9329,Seven people died,seven,Number of Deaths,people in the house bombed in Khan Younis,No,Yes,Many,Palestinian,Palestine,"Seven people died, Mr. Kaware said, a figure also stated by the Palestinian Health Ministry in Gaza, which also said that 25 people were wounded.",2014,08 July 2014,NYT
5779,5779,ID_Past Conflicts_NYT_967,Cold Statistics_Prompt_Instance_ID_9330,25 people were wounded,25,Number of Injured,people in the house bombed in Khan Younis,No,Yes,Many,Palestinian,Palestine,"Seven people died, Mr. Kaware said, a figure also stated by the Palestinian Health Ministry in Gaza, which also said that 25 people were wounded.",2014,08 July 2014,NYT
5780,5780,ID_Past Conflicts_NYT_967,Cold Statistics_Prompt_Instance_ID_9331,killing the three occupants,three,Number of Deaths,occupants of a car hit by missile in Gaza,No,Yes,Many,"Palestinian (inferred, as the car was in Gaza and one was a Hamas official)",Palestine,"Also on Tuesday, a missile hit a car traveling along a central Gaza thoroughfare, killing the three occupants.",2014,08 July 2014,NYT
5781,5781,ID_Past Conflicts_NYT_968,Cold Statistics_Prompt_Instance_ID_9332,45 people had been killed,45 people killed,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"The Health Ministry in Gaza said that 45 people had been killed in the Israeli air bombardments that began early Tuesday, 23 of them women and children, and more than 300 wounded.",2014,09 July 2014,NYT
5782,5782,ID_Past Conflicts_NYT_968,Cold Statistics_Prompt_Instance_ID_9333,23 of them women and children,23 women and children killed,Number about Deaths (Women and Children),Palestinian women and children in Gaza,Yes,Yes,Many,Palestinian,Palestine,"The Health Ministry in Gaza said that 45 people had been killed in the Israeli air bombardments that began early Tuesday, 23 of them women and children, and more than 300 wounded.",2014,09 July 2014,NYT
5783,5783,ID_Past Conflicts_NYT_968,Cold Statistics_Prompt_Instance_ID_9334,more than 300 wounded,more than 300 wounded,Number about Injured,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"The Health Ministry in Gaza said that 45 people had been killed in the Israeli air bombardments that began early Tuesday, 23 of them women and children, and more than 300 wounded.",2014,09 July 2014,NYT
5784,5784,ID_Past Conflicts_NYT_974,Cold Statistics_Prompt_Instance_ID_9340,at least 40 Palestinians,at least 40,Number about Deaths,Palestinian civilians in Gaza,Yes,Yes,Many,Palestinian,Palestine,"According to the Palestinian Health Ministry, at least 40 Palestinians in crowded Gaza are reported to have died so far since Monday night, some of them youngsters and not all of them combatants.",2014,09 July 2014,NYT
5785,5785,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9343,death toll,at least 53,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,the death toll across Gaza hit at least 53 since Saturday.,2014,09 July 2014,NYT
5786,5786,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9344,killing,three,Number about Deaths,Israeli teenagers,Yes,Yes,Many,Israeli,Israel,after a spike in tensions fueled by the abduction and killing of three Israeli teenagers hitchhiking in the West Bank,2014,09 July 2014,NYT
5787,5787,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9347,killing,five,Number about Deaths,family members of Abdullah Diyfallah,No,Yes,Many,Palestinian,Palestine,killing him and five family members.,2014,09 July 2014,NYT
5788,5788,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9348,died,"1,400",Number about Deaths,Palestinians in 2008 conflict,No,Yes,Many,Palestinian,Palestine,"In 2008, 1,400 Palestinians died and fewer than 15 Israelis.",2014,09 July 2014,NYT
5789,5789,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9349,died,fewer than 15,Number about Deaths,Israelis in 2008 conflict,No,Yes,Many,Israeli,Israel,"In 2008, 1,400 Palestinians died and fewer than 15 Israelis.",2014,09 July 2014,NYT
5790,5790,ID_Past Conflicts_NYT_977,Cold Statistics_Prompt_Instance_ID_9350,population,1.7 million,Population Size,Population of Gaza,No,Yes,Many,Palestinian,Palestine,supported by a 1.7 million population in Gaza.,2014,09 July 2014,NYT
5791,5791,ID_Past Conflicts_NYT_981,Cold Statistics_Prompt_Instance_ID_9359,three Israeli youths,three,Number about Victims (killed),Israeli youths,Yes,Yes,Many,Israeli,Israel,"Just days ago, in apparent retribution for the killing of three Israeli youths, Jewish extremists kidnapped, tortured and murdered Muhammad Abu Khdeir, a Palestinian boy one year younger than my own son, and Israeli authorities have arrested and beaten hundreds of Palestinians throughout East Jerusalem.",2014,09 July 2014,NYT
5792,5792,ID_Past Conflicts_NYT_981,Cold Statistics_Prompt_Instance_ID_9360,hundreds of Palestinians,hundreds,Number about Victims (arrested and beaten),Palestinians throughout East Jerusalem,No,Yes,Many,Palestinian,Palestine,"Just days ago, in apparent retribution for the killing of three Israeli youths, Jewish extremists kidnapped, tortured and murdered Muhammad Abu Khdeir, a Palestinian boy one year younger than my own son, and Israeli authorities have arrested and beaten hundreds of Palestinians throughout East Jerusalem.",2014,09 July 2014,NYT
5793,5793,ID_Past Conflicts_NYT_981,Cold Statistics_Prompt_Instance_ID_9361,too many sons and mothers in Gaza,too many,Statistics about Deaths (unspecified large number),Gaza civilians (sons and mothers),Yes,Yes,Many,Palestinian,Palestine,For its military campaigns that have taken the lives of too many sons and mothers in Gaza over the past few days and in the West Bank over the past few weeks.,2014,09 July 2014,NYT
5794,5794,ID_Past Conflicts_NYT_984,Cold Statistics_Prompt_Instance_ID_9364,killing of three Israeli teenagers,three,Number about Deaths (Victims),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,"No one can justify the killing of three Israeli teenagers, or the years of hateful speech, indiscriminate barrages of rockets, and calls to annihilate the Jewish state.",2014,10 July 2014,NYT
5795,5795,ID_Past Conflicts_NYT_985,Cold Statistics_Prompt_Instance_ID_9367,killing,killing of three Israeli teenagers,Number about Deaths (Three),Three Israeli teenagers,Yes,Yes,Many,Israeli,Israel,The killing was described by Israeli officials as revenge for the kidnapping and killing of three Israeli teenagers whose bodies were found in shallow graves in the West Bank.,2014,10 July 2014,NYT
5796,5796,ID_Past Conflicts_NYT_985,Cold Statistics_Prompt_Instance_ID_9368,killed,massacre of 29 Muslims at prayer in Hebron in 1994,Number about Deaths (Twenty-nine),Muslims at prayer in Hebron,No,Yes,Many,Palestinian,Palestine,to Baruch Goldstein’s massacre of 29 Muslims at prayer in Hebron in 1994,2014,10 July 2014,NYT
5797,5797,ID_Past Conflicts_NYT_985,Cold Statistics_Prompt_Instance_ID_9369,killed,"Israel’s bombardment of Gaza has reportedly killed some 78 people, including women and children",Number about Deaths (Seventy-eight),"People in Gaza, including women and children",Yes,Yes,Many,Palestinian,Palestine,"Israel’s bombardment of Gaza has reportedly killed some 78 people, including women and children",2014,10 July 2014,NYT
5798,5798,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9378,killed at least eight people,at least eight,Number about Deaths,people at the Fun Time Beach cafe,No,Yes,Many,Palestinian,Palestine,The blast destroyed the cafe and killed at least eight people.,2014,10 July 2014,NYT
5799,5799,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9381,the oldest of the four brothers,four,Number about Family Members (brothers),Sawalli brothers,No,Yes,Many,Palestinian,Palestine,"Kamel Sawalli, the oldest of the four brothers, was sitting up beside one of the bulldozer drivers, refusing calls from relatives to attend the funerals.",2014,10 July 2014,NYT
5800,5800,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9382,the three should be buried together,three,Number about Deaths (family members to be buried),Sawalli brothers to be buried,No,Yes,Many,Palestinian,Palestine,“The three should be buried together.”,2014,10 July 2014,NYT
5801,5801,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9385,death toll in Gaza had risen to at least 78,at least 78,Number about Deaths (overall),deaths in Gaza,No,Yes,Many,Palestinian,Palestine,"The death toll in Gaza had risen to at least 78 by Thursday, the majority of them noncombatants, according to Health Ministry officials in the Palestinian coastal enclave.",2014,10 July 2014,NYT
5802,5802,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9386,more than a dozen people,more than a dozen (at least 13),Number about People Present (potentially affected),people present at the cafe during the strike,No,Yes,Many,Palestinian,Palestine,But he had no immediate information on the identity of the person in Israel’s sights or why the military struck when the cafe was abuzz with more than a dozen people.,2014,10 July 2014,NYT
5803,5803,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9387,population of 1.7 million,1.7 million,"Number about Population (potentially affected by displacement, deprivation)",Gaza’s population,No,Yes,Many,Palestinian,Palestine,"With the casualties of Israel’s aerial campaign in Gaza mounting, Egypt opened the Rafah border crossing, the main gateway for Gaza’s population of 1.7 million, to allow the evacuation of wounded to hospitals in Egypt and the passage of Palestinians who hold Egyptian citizenship.",2014,10 July 2014,NYT
5804,5804,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9388,hundreds of people gathered outside the gate,hundreds,Number about People Displaced or Seeking Evacuation,people gathered at Rafah crossing,No,Yes,Many,Palestinian,Palestine,"Hundreds of people gathered outside the gate, which Hamas officers shut in a desperate attempt to control the crowds.",2014,10 July 2014,NYT
5805,5805,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9389,"her three children, who were barefoot",three,Number about Children Displaced/Evacuating,Nariman Shurab’s children,Yes,Yes,Many,Palestinian,Palestine,"Nariman Shurab made it into the departure hall with her three children, who were barefoot.",2014,10 July 2014,NYT
5806,5806,ID_Past Conflicts_NYT_989,Cold Statistics_Prompt_Instance_ID_9390,thousands of mobile phones,thousands,Number about People Warned to Vacate (potential displacement),people in Gaza receiving warning messages,No,Yes,Many,Palestinian,Palestine,...referring to a recorded message sent to thousands of mobile phones in Gaza on Thursday.,2014,10 July 2014,NYT
5807,5807,ID_Past Conflicts_NYT_991,Cold Statistics_Prompt_Instance_ID_9393,three Israeli teenagers,three,Number about Victims (Abducted and Killed),three Israeli teenagers,Yes,Yes,Many,Israeli,Israel,Israeli intelligence officials used gag orders in recent weeks to stifle reporting on the initial investigations into both the abduction and the killing of three Israeli teenagers in the West Bank,2014,10 July 2014,NYT
5808,5808,ID_Past Conflicts_NYT_1002,Cold Statistics_Prompt_Instance_ID_9439,Palestinian deaths,"at least 78, a majority of them civilians",Number about Deaths (Civilians),Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"As the air campaign entered its third day, the Palestinian death toll rose to at least 78, a majority of them civilians, according to officials in Gaza.",2014,10 July 2014,NYT
5809,5809,ID_Past Conflicts_NYT_1002,Cold Statistics_Prompt_Instance_ID_9440,killed at least 15 Palestinians,at least 15,Number about Deaths (Civilians),Palestinian civilians (including those in a house and a beach cafe),No,Yes,Many,Palestinian,Palestine,"Airstrikes overnight on a house in Khan Younis and an open-air beach cafe killed at least 15 Palestinians, and one airstrike hit a car used by a local news agency bearing media signs, killing the driver, Hamed Shehab, 27, the officials said.",2014,10 July 2014,NYT
5810,5810,ID_Past Conflicts_NYT_1002,Cold Statistics_Prompt_Instance_ID_9441,14 children aged 15 and younger had been killed,14 children aged 15 and younger,Number about Deaths (Children),Palestinian children,Yes,Yes,Many,Palestinian,Palestine,"The Palestine chapter of Defense for Children International, an independent child-rights organization, said 14 children aged 15 and younger had been killed in the airstrikes on Tuesday and Wednesday, including four toddlers.",2014,10 July 2014,NYT
5811,5811,ID_Past Conflicts_NYT_1002,Cold Statistics_Prompt_Instance_ID_9442,seven people died and 25 were wounded,seven people died and 25 were wounded,Number about Deaths and Number about Injured (Civilians),Kaware family and neighbors in Khan Younis (Palestinian civilians),No,Yes,Many,Palestinian,Palestine,The Israeli military gave an initial explanation of what happened in one case when seven people died and 25 were wounded in the strike on the house of the Kaware family in Khan Younis on Tuesday.,2014,10 July 2014,NYT
5812,5812,ID_Past Conflicts_NYT_1002,Cold Statistics_Prompt_Instance_ID_9443,"about 20,000 reservists had been called up","about 20,000",Number about Mobilized Military Personnel (Reservists),"Israeli reservists (military, not civilians)",No,Yes,Many,Israeli,Israel,"A spokesman for the Israeli military said that about 20,000 reservists had been called up and that preparations for a possible ground operation were being completed.",2014,10 July 2014,NYT
5813,5813,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9454,three Israeli teenagers were kidnapped,three,Number about Victims (Kidnapped),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,"When three Israeli teenagers were kidnapped in the West Bank while hitchhiking home last month, Israeli security forces searching for them took the opportunity to arrest hundreds of Palestinians associated with Hamas.",2014,11 July 2014,NYT
5814,5814,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9455,arrest hundreds of Palestinians,hundreds,Number about Victims (Arrested),Palestinians associated with Hamas,No,Yes,Many,Palestinian,Palestine,Israeli security forces searching for them took the opportunity to arrest hundreds of Palestinians associated with Hamas.,2014,11 July 2014,NYT
5815,5815,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9456,bodies of the three were found,three,Number about Victims (Killed),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,"A week and a half ago, after the bodies of the three were found and a Palestinian teenager was kidnapped and burned alive by Israeli extremists in an act of revenge, many Israelis claimed that it could not have been done by Jews.",2014,11 July 2014,NYT
5816,5816,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9459,killed scores,scores,Statistics about Deaths (Killed),"Civilians (likely Palestinian, context: Israeli airstrikes)",No,Yes,Many,Palestinian,Palestine,...has allowed the murder of four teenagers to escalate in just a few days into a series of devastating Israeli airstrikes that have killed scores and Palestinian rocket attacks that have displaced thousands.,2014,11 July 2014,NYT
5817,5817,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9460,displaced thousands,thousands,Number about Victims (Displaced),"Civilians (likely Israeli, context: Palestinian rocket attacks)",No,Yes,Many,Israeli,Israel,...has allowed the murder of four teenagers to escalate in just a few days into a series of devastating Israeli airstrikes that have killed scores and Palestinian rocket attacks that have displaced thousands.,2014,11 July 2014,NYT
5818,5818,ID_Past Conflicts_NYT_1007,Cold Statistics_Prompt_Instance_ID_9461,tens of thousands of Palestinians from the West Bank and Gaza Strip worked in Israel,tens of thousands,Number about Victims (Deprived of work/access),Palestinians from the West Bank and Gaza Strip,No,Yes,Many,Palestinian,Palestine,"During the 1980s and ’90s, tens of thousands of Palestinians from the West Bank and Gaza Strip worked in Israel.",2014,11 July 2014,NYT
5819,5819,ID_Past Conflicts_NYT_1009,Cold Statistics_Prompt_Instance_ID_9466,at least 100 killed,at least 100 killed,Statistics about Deaths,Palestinian civilians in the Gaza Strip,No,Yes,Many,Palestinian,Palestine,"Palestinians reported at least 100 killed in the crowded Gaza Strip, while the scores of Hamas missiles landing across Israel spread fear but had yet to claim a fatality as of Friday.",2014,11 July 2014,NYT
5820,5820,ID_Past Conflicts_NYT_1011,Cold Statistics_Prompt_Instance_ID_9467,three Israeli teenagers were kidnapped,three,Number about Victims (Kidnapped),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,Then three Israeli teenagers were kidnapped hitchhiking in the West Bank.,2014,11 July 2014,NYT
5821,5821,ID_Past Conflicts_NYT_1011,Cold Statistics_Prompt_Instance_ID_9469,six Israelis were detained,six,Number about Suspects Detained (not victims),Israeli suspects,No,Yes,Many,Israeli,Israel,"Soon after, a 16-year-old Palestinian was kidnapped and killed and six Israelis were detained by the police as suspects.",2014,11 July 2014,NYT
5822,5822,ID_Past Conflicts_NYT_1012,Cold Statistics_Prompt_Instance_ID_9470,"more than 100 Palestinians have died, more than half of them civilians","more than 100 Palestinians have died, more than half of them civilians",Statistics about Deaths (Civilians and Non-Civilians),Palestinian civilians and non-civilians,No,Yes,Many,Palestinian,Palestine,"Gazans are quick to note the disparity in the death tolls from this war, in which more than 100 Palestinians have died, more than half of them civilians, according to the United Nations Office of Coordination for Humanitarian Affairs.",2014,11 July 2014,NYT
5823,5823,ID_Past Conflicts_NYT_1012,Cold Statistics_Prompt_Instance_ID_9472,Al-Shifa has treated about half of the more than 600 Palestinians wounded so far,more than 600 Palestinians wounded so far,Statistics about Injured (Wounded),Palestinian civilians and non-civilians wounded,No,Yes,Many,Palestinian,Palestine,"Al-Shifa has treated about half of the more than 600 Palestinians wounded so far, he said, with some pride.",2014,11 July 2014,NYT
5824,5824,ID_Past Conflicts_NYT_1014,Cold Statistics_Prompt_Instance_ID_9473,Palestinian deaths,"surpassed 100, with hundreds wounded",Number about Deaths and Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"Palestinian deaths from four days of Israeli aerial assaults surpassed 100, with hundreds wounded.",2014,11 July 2014,NYT
5825,5825,ID_Past Conflicts_NYT_1014,Cold Statistics_Prompt_Instance_ID_9474,no Israelis had been killed,no Israelis had been killed,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,"As of Friday, no Israelis had been killed by Gaza rockets, although one caused the first serious instance of multiple injuries on the Israeli side since the hostilities intensified.",2014,11 July 2014,NYT
5826,5826,ID_Past Conflicts_NYT_1014,Cold Statistics_Prompt_Instance_ID_9475,103 Palestinians had been killed,103 Palestinians had been killed,Number about Deaths,Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,"The Health Ministry in Gaza said that 103 Palestinians had been killed in the Israeli air campaign by Friday evening, many of them civilians including women and children.",2014,11 July 2014,NYT
5827,5827,ID_Past Conflicts_NYT_1014,Cold Statistics_Prompt_Instance_ID_9477,five members of a family were killed,five,Number about Deaths,Palestinian family (civilians),No,Yes,Many,Palestinian,Palestine,But five members of a family were killed in a strike on their home in the southern city of Rafah at dawn on Friday.,2014,11 July 2014,NYT
5828,5828,ID_Past Conflicts_NYT_1014,Cold Statistics_Prompt_Instance_ID_9481,"eight people were hurt, including a 61-year-man who suffered severe wounds",eight,Number about Injured,Israeli civilians,No,Yes,Many,Israeli,Israel,"Israel’s ambulance service said eight people were hurt, including a 61-year-man who suffered severe wounds.",2014,11 July 2014,NYT
5829,5829,ID_Past Conflicts_NYT_1015,Cold Statistics_Prompt_Instance_ID_9483,murder of three Israeli teenagers,three,Number about Deaths (Murdered Teenagers),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,the other reported on the upheaval in Israel in response to the murder of three Israeli teenagers and the revenge killing of a Palestinian teenager.,2014,11 July 2014,NYT
5830,5830,ID_Past Conflicts_NYT_1015,Cold Statistics_Prompt_Instance_ID_9485,3 Missing Youths,3,Number about Victims (Missing/Kidnapped Teenagers),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,June 18 | Jewish Groups United by Prayers for 3 Missing Youths,2014,11 July 2014,NYT
5831,5831,ID_Past Conflicts_NYT_1015,Cold Statistics_Prompt_Instance_ID_9487,3 Kidnapped Israelis,3,Number about Victims (Kidnapped Teenagers),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,June 22 | Fate of 3 Kidnapped Israelis Raises Tensions on Many Fronts,2014,11 July 2014,NYT
5832,5832,ID_Past Conflicts_NYT_1015,Cold Statistics_Prompt_Instance_ID_9488,3 Teenagers,3,Number about Victims (Teenagers),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,June 30 | Israel’s Search for 3 Teenagers Ends in Grief,2014,11 July 2014,NYT
5833,5833,ID_Past Conflicts_NYT_1015,Cold Statistics_Prompt_Instance_ID_9491,6 Israelis Held Over the Killing of Palestinian,6,Number about Perpetrators (Arrested Individuals),Israelis held over the killing of a Palestinian,No,Yes,Many,Israeli,Israel,July 6 | 6 Israelis Held Over the Killing of Palestinian,2014,11 July 2014,NYT
5834,5834,ID_Past Conflicts_NYT_1017,Cold Statistics_Prompt_Instance_ID_9499,Death toll in Gaza around 100,around 100,Number about Deaths,Civilians in Gaza,Unknown,Yes,Many,Palestinian,Palestine,Death toll in Gaza around 100.,2014,11 July 2014,NYT
5835,5835,ID_Past Conflicts_NYT_1023,Cold Statistics_Prompt_Instance_ID_9541,killing,killing two patients and wounding three,Number about Deaths and Injured,patients at a center for the handicapped in Gaza,No,Yes,Many,Palestinian,Palestine,"Israeli bombs struck a mosque on Saturday, and a center for the handicapped, killing two patients and wounding three.",2014,12 July 2014,NYT
5836,5836,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9542,"killing two residents and wounding three, as well as a caretaker","killing two residents and wounding three, as well as a caretaker",Number about Deaths and Number about Injured,Residents and caretaker of the center for the disabled in Gaza,No,Yes,Many,Palestinian,Palestine,"Israel bombed a mosque, which its aerial photos indicated was harboring a weapons cache, and a center for the disabled, killing two residents and wounding three, as well as a caretaker.",2014,12 July 2014,NYT
5837,5837,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9543,killed at least 18 people,at least 18 people,Number about Deaths,People in the house of a police commander and people coming out of a nearby mosque in Gaza,No,Yes,Many,Palestinian,Palestine,"A separate strike on the house of a police commander killed at least 18 people, the highest toll so far this conflict, bringing the total number of dead to at least 140, Palestinian officials said.",2014,12 July 2014,NYT
5838,5838,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9544,bringing the total number of dead to at least 140,at least 140,Number about Deaths (Cumulative),Palestinian civilians and others killed in Gaza during the conflict,No,Yes,Many,Palestinian,Palestine,"A separate strike on the house of a police commander killed at least 18 people, the highest toll so far this conflict, bringing the total number of dead to at least 140, Palestinian officials said.",2014,12 July 2014,NYT
5839,5839,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9545,four soldiers were slightly wounded,four soldiers,Number about Injured (Military),Israeli soldiers,No,Yes,Many,Israeli,Israel,"But the Israeli military said early Sunday that four soldiers were slightly wounded during a brief incursion into northern Gaza to destroy a rocket launching site, according to The Associated Press.",2014,12 July 2014,NYT
5840,5840,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9546,five of the 19 severely disabled residents were at the center,five of the 19 severely disabled residents,Number about Victims Present (Disabled Residents),Severely disabled residents of the Mabaret Palestine Society center,No,Yes,Many,Palestinian,Palestine,"Because it was the weekend, only five of the 19 severely disabled residents were at the center, while the rest were with their families, said Jamila Elaiwa, who founded the center 20 years ago.",2014,12 July 2014,NYT
5841,5841,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9548,wounded because it was still too early for the predawn Ramadan prayers,four people were wounded,Number about Injured,"People at the mosque in Nusseirat refugee camp, Gaza",No,Yes,Many,Palestinian,Palestine,"Neighbors said that there had been a “knock on the roof,” followed by the bomb a few minutes later, and that only four people were wounded because it was still too early for the predawn Ramadan prayers.",2014,12 July 2014,NYT
